law_id,bill_number,title,source_url,law_status
100,,Louisiana AI Intimate Image Law 14 La. Rev. Stat. Ann. §,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1379408,active
101,,Louisiana Deepfake Law 14 La. Rev. Stat. Ann. §,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1333325,active
102,,AI Communications with Consumers 10 MRSA c. 239,https://legislature.maine.gov/bills/getPDF.asp?paper=HP1154&item=3&snum=132,active
103,,Decision- Maryland Online Data Privacy Act Md. Code Ann. § 14-,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_747_hb0820t.pdf,active
104,SB 818,Maryland AI Governance Act of SB 818,https://legiscan.com/MD/text/SB818/id/2998150/Maryland-2024-SB818-Chaptered.pdf,active
105,,"to the Maryland CSAM MD. Code., Crim. Law",orrick.com/ai,stub
106,,"Utilization Review Md. Code Ann., Ins. §§",https://mgaleg.maryland.gov/2024RS/bills/hb/hb0567E.pdf,active
107,HB 1331,HB 1331,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1331?ys=2025RS,active
108,SB 936,SB 936,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0936?ys=2025rs,active
109,HB 4744,Massachusetts HB 4744 — Act Promoting Responsible Use of Artificial Intelligence,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter118,active
110,HB 97,HB 97,https://malegislature.gov/Bills/194/H97,active
111,HB 5144,AI Political Deepfake Law HB 5144,https://www.legislature.mi.gov/documents/2023-2024/publicact/pdf/2023-PA-0265.pdf,active
112,HB 5141,AI Political Disclaimer Law HB 5141,https://www.legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0263.htm,active
113,,"Minnesota Consumer Data Privacy Act (HF 4757, Minn. Stat. § 325O)",https://infobytes.orrick.com/wp-content/uploads/download-1-1.pdf,active
114,SF 4097,Media & Prohibiting Social Media SF 4097,orrick.com/ai,stub
115,HF 1370,Non-Consensual Dissemination of HF 1370,orrick.com/ai,stub
116,HF2432,to the Minnesota HF2432,orrick.com/ai,stub
117,SF 1886,SF 1886,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF1886&ssn=0&y=2025,active
118,SB 2577,AI Political Deepfake Law SB 2577,https://billstatus.ls.state.ms.us/2024/pdf/history/SB/SB2577.xml,active
119,,and Related Offenses R.S.Mo § 573.010,https://revisor.mo.gov/main/OneSection.aspx?section=573.010&bid=51065,active
120,SB25,AI Deepfakes in Elections SB25,https://docs.legmt.gov/download-ticket?ticketId=79409647-ee8e-4eda-aceb-c7e125083fda,active
121,,Decision- Montana Consumer Data Privacy Montana Code Ann. §,orrick.com/ai,active
122,,"Montana Explicit Synthetic Media MCA Title 45, Chapter",https://infobytes.orrick.com/wp-content/uploads/Montana-2025-SB413-Enrolled.pdf,active
123,HB178,Montana Government AI Use Law HB178,https://docs.legmt.gov/download-ticket?ticketId=907ba0c7-2666-4edc-938e-7f66bf3de5cb,active
124,,Privacy in Communications Law MCA Section 45-8-213,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-HB514-Enrolled.pdf,active
125,,"Right in Use of Names, MCA Title 30, Chapter",https://infobytes.orrick.com/wp-content/uploads/Montana-2025-HB513-Enrolled.pdf,active
126,SB212,Right to Compute Act SB212,https://docs.legmt.gov/download-ticket?ticketId=a64e8bac-75d1-42b8-a672-82870e842ab0,active
127,SB 452,SB 452,https://bills.legmt.gov/#/laws/bill/2/LC0068,active
128,LB 1074,Nebraska Data Privacy Act (LB 1074),https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB1074.pdf,active
129,LB 383,"Nebraska CSAM Prevention Act (LB 383, Neb. Rev. Stat. § 28-1463.01)",https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB383.pdf,active
130,LB 642,LB 642,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=58992,active
131,,AI for School Counseling Chapter 391 of NRS,orrick.com/ai,stub
132,,AI General AI Chatbots and Mental Nev. Rev. Stat.,orrick.com/ai,active
133,,for Mental and Behavioral Health Nev. Rev. Stat.,orrick.com/ai,stub
134,,Nevada AI Political Advertising Law NRS Chapter 294A.347-,orrick.com/ai,stub
135,AB 3265,AB 3265,https://www.nysenate.gov/legislation/bills/2025/A3265,active
136,AB 3356,AB 3356,https://www.nysenate.gov/legislation/bills/2025/A3356,active
137,AB 3411/SB 934,AB 3411/SB 934,https://www.nysenate.gov/legislation/bills/2025/A3411,active
138,AB 768/SB 1962,AB 768/SB 1962,https://www.nysenate.gov/legislation/bills/2025/A768,active
139,SB199,SB199,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/12246/Overview,active
140,,AI Responsive Generative New Hampshire,https://legiscan.com/NH/text/HB1596/id/2864639,active
141,,Decision- New Hampshire Privacy Act N.H. Rev. Stat. § 507-,orrick.com/ai,active
142,HB 1432,Hampshire Deepfake Act HB 1432,orrick.com/ai,stub
143,HB 1596,New Hampshire AI Political HB 1596,https://gc.nh.gov/bill_status/pdf.aspx?id=17004&q=billVersion,active
144,HB 1688,New Hampshire State Agency,orrick.com/ai,active
145,A3540,criminal penalties for A3540,orrick.com/ai,active
146,,Decision- New Jersey Data Privacy Act N.J. Rev. Stat. § 56:8-,orrick.com/ai,active
147,,Rules Pertaining to Disparate N.J.A.C. 13:16,https://www.njoag.gov/wp-content/uploads/2025/12/N.J.A.C.-13-16-Disparate-Impact-Discrimination.pdf,active
148,,New Mexico Campaign Reporting N.M. Stat. Ann. § 1-19-,orrick.com/ai,active
149,HB 401,HB 401,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=401&year=25,active
150,,AI Artificial Intelligence Companion New York General,orrick.com/ai,stub
151,SB1042A,Amendment to the New York SB1042A,orrick.com/ai,stub
152,,Artificial Intelligence Deceptive N.Y. Election Law § 14-,orrick.com/ai,stub
153,A433,Automated Employment Decision- A433,https://media.orrick.com/Media%20Library/public/files/insights/2026/ny-s8831.pdf,active
154,,for the Creation and Use General Obligations,orrick.com/ai,stub
155,,Intelligence Deceptive N.Y. Civ. Rights Law §,orrick.com/ai,stub
156,,NYC AI Employment Law (Local Law 144),https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4344524&GUID=B051915D-A9AC-451E-81F8-6596032FA3F9&Options=ID%7cText%7c&Search=,active
157,,or General- The Responsible AI Safety and New York General,orrick.com/ai,active
158,S8420A,Performer Disclosures S8420A,orrick.com/ai,active
159,,New York Algorithmic Pricing Law,https://www.cga.ct.gov/current/pub/chap_244c.htm,active
160,S 7543B,The LOADinG Act: Legislative S 7543B,orrick.com/ai,stub
161,S8391,to Deceased S8391,orrick.com/ai,active
162,S1169A,New York Artificial Intelligence Act S1169A,https://www.nysenate.gov/legislation/bills/2025/S1169/amendment/A,stub
163,S 9832,York State Fashion Workers S 9832,orrick.com/ai,stub
164,A6540/S5160,AB 6540/SB,https://www.nysenate.gov/legislation/bills/2025/A6540,active
165,A6578/S5600,AB 6578/SB,https://www.nysenate.gov/legislation/bills/2025/A6578,active
166,A8884/S1169,AB 8884/SB,https://www.nysenate.gov/legislation/bills/2025/A8884,active
167,HB 60,New Mexico Artificial Intelligence Act — HB 60 (2025),https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=60&year=25,active
168,HB 591,North Carolina Intimate Images HB 591,orrick.com/ai,active
170,,"AI Political Advertising Disclaimer ND Century Code,",https://ndlegis.gov/assembly/69-2025/regular/documents/25-0529-05000.pdf,active
171,,An Act Relating to Sexually N.D. Cent. Code § 12.1-,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0034-05000.pdf,active
172,,CSAM Amendments North Dakota Century,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1064-05000.pdf,active
173,,Dakota Harassment Law North Dakota Century,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf,active
174,,Dakota Stalking Law North Dakota Century,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf,active
175,,North Dakota Unmanned Aerial North Dakota Century,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1307-04000.pdf,active
176,,Amendment of Oklahoma Law Section 1040.13b,https://www.oklegislature.gov/cf_pdf/2025-26 ENR/hB/HB1364 ENR.PDF,active
177,HB 3642,to Oklahoma CSAM HB 3642,orrick.com/ai,stub
178,HB 1916,HB 1916,http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1916&Session=2500,active
179,SB 619,Oregon Consumer Privacy Act (SB 619),https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/SB619/Enrolled,active
180,SB 1571,Use of AI in Campaign SB 1571,orrick.com/ai,stub
181,SB 1213,Amendment of Pennsylvania SB 1213,https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=1213&pn=1946,active
183,,Deceptive and Fraudulent Synthetic Media in Election Communications — R.I. Gen. Laws S.0816A,https://infobytes.orrick.com/wp-content/uploads/S0816A.pdf,active
184,,Rhode Island Data Transparency and Privacy Protection Act — R.I. Gen. Laws S.2500,https://legiscan.com/RI/text/S2500/2024,active
185,HB 1709,HB 1709,(IAPP tracker PDF),active
186,HB 5496,HB 5496,https://status.rilegislature.gov/bill_history_report.aspx?year=2025&bills=5496,active
187,SB 627,SB 627,https://status.rilegislature.gov/bill_history_report.aspx?year=2025&bills=627,active
188,,South Carolina Real Estate AI Responsibility Law,https://www.scstatehouse.gov/code/t40c057.php,active
189,SB 1621,An Act to Prohibit the Use of a SB 1621,https://mylrc.sdlegislature.gov/api/Documents/284327.pdf,active
190,SB 20,of South Dakota SB 20,orrick.com/ai,stub
191,SB 2373,Decision- Tennessee Information Protection SB 2373,orrick.com/ai,active
192,HB 2091,"Likeness, Voice, and SB 1188",https://www.capitol.tn.gov/Bills/113/Bill/HB2091.pdf,active
193,SB 815,of Tennessee CSAM SB 815,https://www.capitol.tn.gov/Bills/113/Bill/HB2163.pdf,active
194,HB 149,Abuse Using Artificially HB 149,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01964F.pdf,active
195,HB 441,Act Relating to the Regulation and HB 441,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00581F.pdf,active
196,HB 1999,AI Sexual Material Harmful to HB 1999,orrick.com/ai,active
197,SB 198,AI Texas Responsible Artificial SB 198,orrick.com/ai,stub
198,HB 4,Texas Data Privacy and Security Act — Tex. Bus. & Com. Code (HB 4),orrick.com/ai,active
199,HB 2700,Intelligence in Electronic HB 2700,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01188F.pdf,active
200,HB 581,Material Appearing to Depict HB 581,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01621F.pdf,active
201,H 878,Media & Unlawful Production or Distribution H 878,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00441F.pdf,active
202,SB 1361,of Automated Decision SB 1361,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00815F.pdf,active
205,,Unlawful Production or Distribution of Sexually Explicit Deep Fake Videos — Tex. Penal Code § 21.165,https://legiscan.com/TX/bill/SB1361/2023,active
208,HB 340,HB 340,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB340,active
209,SB 2966,SB 2966,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB2966,active
210,SB 668,SB 668,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB668,active
211,SB 149,AI Artificial Intelligence Consumer Utah Code § 13-75-,https://le.utah.gov/Session/2025/bills/introduced/SB0226.pdf,active
212,,Applications Related to Mental Utah Code § 13-72a-,https://le.utah.gov/Session/2025/bills/enrolled/HB0452.pdf,active
213,,Artificial Intelligence Utah Code § 45-3-2 et.,https://le.utah.gov/Session/2025/bills/enrolled/SB0271.pdf,active
214,HB 148,Artificial Pornographic Images HB 148,orrick.com/ai,stub
215,HB 238,Explicit Minor HB 238,orrick.com/ai,stub
217,,Law Enforcement Usage of Utah Code § 53-25-,https://le.utah.gov/Session/2025/bills/enrolled/SB0180.pdf,active
218,,or user input of a Utah user,orrick.com/ai,stub
220,SB 131,Utah Information Technology Act SB 131,https://le.utah.gov/xcode/Title13/Chapter72/C13-72_2024050120240501.pdf,active
221,SB 226,SB 226,https://le.utah.gov/~2025/bills/static/SB0226.html,active
222,,Vermont Act 161 — Amendment to Non-Consensual Intimate Image Law,https://legislature.vermont.gov/Documents/2024/Docs/ACTS/ACT161/ACT161 As Enacted.pdf,active
223,H 410,An Act Relating to the Use and H 410,orrick.com/ai,stub
224,HB 2121,HB 2121,(IAPP tracker PDF),stub
225,HB 2250,HB 2250,(IAPP tracker PDF),stub
226,HB 341,HB 341,https://legislature.vermont.gov/bill/status/2026/H.341,active
227,B 2678,Amendment to the Unlawful B 2678,https://legacylis.virginia.gov/cgi-bin/legp604.exe?191+ful+CHAP0490+pdf,active
228,,"Artificial Intelligence-Based Tools Code of Virginia,",https://lis.blob.core.windows.net/files/1079123.PDF,active
229,SB 1392,Decision- Virginia Consumer Data Protection Va. Code Ann. § 59.1-,https://law.lis.virginia.gov/vacode/title32.1/chapter5/section32.1-127/,active
230,,/ Nursing Home Virtual Va. Code Ann. § 32.1-,https://law.lis.virginia.gov/vacode/title59.1/chapter53/section59.1-577/,active
231,SB 731,to CSAM statute SB 731,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0262+pdf,active
232,HB 1168,HB 1168,(IAPP tracker PDF),active
233,HB 2094,HB 2094,https://lis.virginia.gov/bill-details/20251/HB2094,active
234,HB 2554,HB 2554,https://lis.virginia.gov/bill-details/20251/HB2554,active
235,,"Fabricated Intimate or Sexually Explicit Images — Wash. Rev. Code SHB 1999 (Ch. 88, 2024)",https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Session Laws/House/1999-S.SL.pdf?q=20241030184202,active
236,,Washington CSAM — Fabricated Intimate or Sexually Explicit Images — Wash. Rev. Code SHB 1999,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bills/Session Laws/House/1999-S.SL.pdf?q=20241030184202,active
237,HB 1170,HB 1170,https://app.leg.wa.gov/billsummary?BillNumber=1170&Year=2025,active
238,,Nonconsensual Disclosure of Private Intimate Images — W. Va. Code § 61-8-28a (SB 198),http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/sb198 sub1 enr.pdf,active
239,,Crimes Against Chastity and Morality — W. Va. Code § 61-8-28a (SB 198),http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/sb198 sub1 enr.pdf,active
240,,2023 Wisconsin Act 123 Wis. Stat. § 11.1303,https://docs.legis.wisconsin.gov/statutes/statutes/11/xiii/1303,active
241,,Estate Advertising Enhanced by Wis. Stat. §,https://docs.legis.wisconsin.gov/2025/related/acts/69,active
242,SB 314,to the CSAM Statute SB 314,orrick.com/ai,stub
243,,Exploitation of Children Wy. Code § 6-4-306,orrick.com/ai,stub
244,,to Intimate Image Law Wy. Code § 6-4-306,orrick.com/ai,stub
732,AB 489,Health Advice From Artificial Intelligence AB 489,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB489,active
733,AB 723,Real Estate Digitally Altered Images Disclosures AB 723,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB723,active
734,SB 1964,Regulation and Use of AI by Governmental Entities SB 1964,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01964F.pdf,active
735,SB 20,Visual Material Appearing to Depict a Child SB 20,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00020F.pdf,active
