law_id,canonical_law_id,bill_number,jurisdiction_id,status_id,effective_date,title,ai_scope_summary,key_requirements_raw,enforcement_penalties,source_id,source_url,last_updated_at
22,TMP-CA-DECEPTIVEMEDIA,,1,,2024-09-17,Deceptive Media in Election Advertisements,AI in Political,"Prohibits a person, committee, or other entity from knowingly distributing an General or special damages. Advertising Advertisements advertisement or other election communication that contains certain materially deceptive deepfake content with malice within 120 days of an election in California and, in specified Narrowly Enjoined by Kohls v. cases, 60 days after an election. Bonta (E.D. Cal.)",,1,orrick.com/ai,2026-02-21T23:13:58.349339
25,TMP-CA-EMPLOYMENTANDS,,1,,,Employment Regulations Regarding Automated-Decision Systems,Fair,,,1,orrick.com/ai,2026-02-21T23:14:01.841971
27,TMP-CA-ESTATEREALESTA,,1,,2026-01-01,Real Estate Digitally Altered Images Disclosures,AI in Real,"Requires real estate brokers, salespersons and persons acting on their behalf who Disciplinary action under the Images Disclosures § 10140.8 include a digitally altered image (including AI altered images) in an advertisement or other California Real Estate Regulations, promotional material for the sale of real property to include a statement disclosing that the including potential revocation or image has been altered and a link to a publicly accessible internet website, URL, or QR suspension of real estate licenses. code that includes, and clearly identifies, the original, unaltered image.",,1,orrick.com/ai,2026-02-21T23:14:03.915665
29,TMP-CA-HEALTHCAREUTIL,,1,,2025-01-01,AI Healthcare Utilization Law,AI Healthcare AI,,"Requires health care service plans and disability insurers that use an artificial Criminal penalties. intelligence, algorithm, or other software tool for the purpose of utilization review or utilization management functions to ensure compliance with specified requirements, including that the tool bases its determination on specified information and is fairly and equitably applied.",1,orrick.com/ai,2026-02-21T23:14:05.953265
2,US-AL-HB172,HB172,5,,2024-10-01,Alabama Materially Deceptive Election Media Law,AI in Political,Prohibits the distribution of materially deceptive AI-generated media falsely depicting an; Provides a safe harbor from liability where the person provides a disclaimer that the,Class A Misdemeanor for first Advertising Election Media Law individual that is intended to influence an election. offense.; Class D Felony for subsequent media has been manipulated by technical means and depicts speech or conduct that did offense. not occur.,1,orrick.com/ai,2026-02-21T23:13:31.417164
35,TMP-CA-MEDIADIGITALID,,1,,2025-01-01,Digital Identity Theft Act,AI in Social,"Requires a social media platform to: Not specified. Online Platforms; Provide a reasonably accessible mechanism to California users to report to the social media platform any sexually explicit image or video of them posted on that platform that was created or altered through digitization without their consent (i.e., “sexually explicit digital identity theft”);; Temporarily block any covered material from being publicly viewable on the social media platform pending the social media platform’s determination on the report; and; Removing any covered material from being publicly viewable on the social media platform once the platform determines there is a reasonable basis to believe the reported material is sexually explicit digital identity theft.",,1,orrick.com/ai,2026-02-21T23:14:12.550294
39,TMP-CA-PRICINGCARTWRI,,1,,2026-01-01,Cartwright Act Common Pricing Algorithm Amendment,Algorithmic,"Makes it unlawful for a person to use or distribute a common pricing algorithm if the either the gross gain derived from person coerces another person to set or adopt a recommended price or commercial term the violation or the gross loss recommended by the common pricing algorithm for the same or similar products or suffered by the victim, whichever is services in California. greater.","Makes it unlawful for a person to use or distribute a common pricing algorithm as part of Criminal and civil penalties are Algorithm Amendment a contract, combination in the form of a trust, or conspiracy to restrain trade or commerce available, including up to $6 million in violation of the law. in criminal penalties or double; Defines ""common pricing algorithm"" as ""any methodology, including a computer, software, or other technology, used by two or more persons, that uses competitor data to recommend, align, stabilize, set, or otherwise influence a price or commercial term.""",1,orrick.com/ai,2026-02-21T23:14:22.843637
40,TMP-CA-TODECEASEDAB18,,1,,2025-01-01,Amendment to Deceased Personality Protections,AI Likeness Amendment,"Makes it unlawful for a person to produce, distribute, or make available the digital replica Greater of $10,000 or the actual Personality Protections of a deceased personality’s voice or likeness in an expressive audiovisual work or sound damages suffered by a person recording without appropriate consent. controlling the rights to the deceased personality’s likeness.",,1,orrick.com/ai,2026-02-21T23:14:23.923936
41,US-CA-AB2013,AB 2013,1,4,,AB 2013 (Enacted - Generative AI/Synthetic Content),,,,2,(IAPP tracker PDF),2026-02-21T23:14:24.902183
42,US-CA-AB412,AB 412,1,1,,AB 412 (Active Bill - Generative AI/Synthetic Content),,,,2,(IAPP tracker PDF),2026-02-21T23:14:26.165909
43,US-CA-HB94,HB 94,1,1,,HB 94,,,,2,(IAPP tracker PDF),2026-02-21T23:14:27.363769
44,US-CA-SB11,SB 11,1,1,,SB 11,,,,2,(IAPP tracker PDF),2026-02-21T23:14:28.60612
45,US-CA-SB420,SB 420,1,1,,SB 420 (Active Bill - Automated Decision Systems),,,,2,(IAPP tracker PDF),2026-02-21T23:14:29.860611
46,US-CA-SB53,SB 53,1,4,,SB 53 (Enacted - Foundation/Frontier Models),,,,2,(IAPP tracker PDF),2026-02-21T23:14:31.174418
47,US-CA-SB942,SB 942,1,4,,SB 942 (Enacted - Generative AI/Synthetic Content),,,,2,(IAPP tracker PDF),2026-02-21T23:14:32.449253
49,TMP-CO-COLORADOCANDID,,2,,2024-07-01,Colorado Candidate Election Deepfake Disclosures Law,AI in Political,"Prohibits the distribution of AI-generated deepfakes of election candidates. At least $100 per violation and 10% Advertising Deepfake Disclosures Law 111.5 to 111.7 and 1-; Provides a safe harbor from liability where the person provides a clear and conspicuous of the amount spent on the 46-101 to 106 disclaimer that the media has been edited and depicts speech or conduct that falsely communication. appears to be authentic or truthful. Reprinted from Westlaw with the permission of Thomson Reuters. Last updated January 13, 2026 Page 9 of 39 For more, visit www.orrick.com/ai",,1,orrick.com/ai,2026-02-21T23:14:34.649269
50,TMP-CO-COLORADOPROTEC,,2,,2021-07-06,Colorado Protecting Consumers from Unfair Discrimination in Insurance Practices,AI in Insurance,"Prohibits insurance providers from using algorithms or predictive models that unfairly Up to $3,000 per violation, or from Unfair Discrimination in 1104.9 discriminate based on race, color, national or ethnic origin, religion, sex, sexual orientation, $30,000 per knowing violation. Insurance Practices disability, gender identity, or gender expression. Reprinted from; Requires the Colorado Commissioner of Insurance to adopt rules requiring insurers to Westlaw with the demonstrate that their use of algorithms and predictive models do not result in unfair permission of discrimination. Thomson Reuters.",,1,orrick.com/ai,2026-02-21T23:14:35.703912
31,TMP-CA-INTELLIGENCETR,,1,,2026-01-01,Artificial Intelligence Training Data Transparency Act,AI Transparency Artificial,"Requires AI developers to post information on the data used to train their generative AI on Not specified. Transparency Act their websites, including a high-level summary of the datasets used, the sources or owners of the datasets, a description of how the data is used, the number of data points in the set, whether copyrighted / IP protected or licensed data is included, and the time period the data was collected (among other information). Last updated January 13, 2026 Page 3 of 39 For more, visit www.orrick.com/ai",,1,orrick.com/ai,2026-02-21T23:14:08.047162
33,TMP-CA-MEDIACALIFORNI,,1,,2026-08-02,California AI Transparency Act,AI in Social,"Starting January 1, 2027, requires certain large online platforms to: Up to $5,000 per violation. Online Platforms § 22757 et seq. - Detect whether any provenance data that is compliant with widely adopted specifications As Amended by AB 853 (2025) adopted by an established standards-setting body is embedded into or attached to content distributed on the platform; and - Provide a user interface to disclose the availability of system provenance data that reliably indicates that the content was generated or substantially altered by a GenAI system or captured by a capture device.",,1,orrick.com/ai,2026-02-21T23:14:10.234945
34,TMP-CA-MEDIADEFENDING,,1,,2025-01-01,Defending Democracy from Deepfake,AI in Social,"Requires large online platforms with at least one million California users to develop and Injunctive or other equitable relief Online Platforms Deepfake Deception Act of 2024 implement procedures for the use of state-of-the-art techniques to identify and either by the Attorney General, any remove or label (depending on the closeness in proximity to an election) materially district attorney, or city attorney. Broadly Enjoined by Kohls v. Bonta deceptive political deepfake content. (E.D. Cal.) (2:24cv2527); Requires the large online platform to also provide an easily accessible way for California residents to report such content to the platform. Last updated January 13, 2026 Page 6 of 39 For more, visit www.orrick.com/ai",,1,orrick.com/ai,2026-02-21T23:14:11.331521
58,TMP-CT-DATAPRIVACYACT,,8,,2026-07-01,Connecticut Data Privacy Act,AI Transparency Connecticut,"Requires controllers to include a statement in their privacy notice disclosing whether the Up to $5,000 per violation. controller collects, uses or sells personal data for the purpose of training large language models.",,1,orrick.com/ai,2026-02-21T23:14:44.733507
61,US-CT-SB2,SB 2,8,1,,SB 2,,,,2,(IAPP tracker PDF),2026-02-21T23:14:47.875697
62,TMP-DE-AMENDMENTTOTHE,,9,,2024-08-07,Amendment to the Delaware Code Relating to Deepfakes,AI Intimate Images,,Sets out civil and criminal remedies for wrongful disclosure of deepfakes that depict Existing criminal penalties under Relating to Deepfakes individuals in the nude or engaging in sexual conduct so long as the depicted person is the Unauthorized Disclosure of identifiable and did not consent to the disclosure. Intimate Images statute apply.,1,orrick.com/ai,2026-02-21T23:14:49.204244
63,TMP-DE-DECISIONDELAWA,,9,,2025-01-01,Delaware Personal Data Privacy Act,Automated,Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.,"Provides consumers the right to opt-out of any form of automated processing performed Up to $10,000 per violation. Making Act 101 et seq. on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual’s economic situation, health, demographic characteristics, personal preferences, interests, reliability, behavior, location, or movements in furtherance of solely-automated decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health–care services, or access to essential goods and services).",1,orrick.com/ai,2026-02-21T23:14:50.225687
64,TMP-DE-DELAWAREARTIFI,,9,,2024-07-17,Delaware Artificial Intelligence Commission Act,AI in Government,"Requires the Delaware Artificial Intelligence Commission to conduct an inventory of all N/A Commission Act generative AI usage in Delaware government. Last updated January 13, 2026 Page 11 of 39 For more, visit www.orrick.com/ai",,1,orrick.com/ai,2026-02-21T23:14:51.222401
65,TMP-FL-DECISIONFLORID,,10,,2024-07-01,Florida Digital Bill of Rights,Automated,Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.,"Provides consumers the right to opt-out of any form of solely automated processing Up to $50,000 per violation. Making performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual’s economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, health care services, education enrollment, education opportunities, criminal justice, or access to basic necessities like food and water).",1,orrick.com/ai,2026-02-21T23:14:52.269956
66,TMP-FL-FLORIDAACTRELA,,10,,2024-07-01,Florida Act Relating to AI Use in Political Advertising,AI in Political,,Requires political advertisements and electioneering communications containing AI- Misdemeanor of the First Degree. Advertising Political Advertising generated deepfakes intended to influence an election to include a disclaimer indicating the content was created in whole or in part with the use of generative AI.,1,orrick.com/ai,2026-02-21T23:14:53.408494
67,TMP-FL-OFFLORIDACSAML,,10,,2025-01-01,Amendment of Florida CSAM Laws,AI CSAM Amendment,,"Expands the scope of existing child pornography statutes to include any image that has Existing criminal penalties apply. been created, altered, adapted, or modified be electronic, mechanical, or other computer- generated means to portray a fictitious person, who a reasonable person would regard as being a real person younger than 18 years of age, engaged in sexual conduct.",1,orrick.com/ai,2026-02-21T23:14:54.456962
68,US-FL-HB369,HB 369,10,1,,HB 369,,,,2,(IAPP tracker PDF),2026-02-21T23:14:55.502674
69,TMP-GA-OFGEORGIACSAML,,11,,2024-07-01,Amendment of Georgia CSAM Law,AI CSAM Amendment,,Clarifies that claiming CSAM was adapted or modified to appear as though an identifiable Existing criminal penalties apply. minor is engaging in sexually explicit conduct is not a defense to existing CSAM laws.,1,orrick.com/ai,2026-02-21T23:14:56.831395
70,TMP-GA-PROHIBITIONONN,,11,,2022-05-02,Prohibition on Nude or Sexually Explicit Electronic Transmissions,AI Intimate Images,,"Expands the definition of non-consensual nude or sexually explicit electronic Existing criminal penalties apply. Explicit Electronic Transmissions transmissions to include “falsely created videographic or still images.” Last updated January 13, 2026 Page 12 of 39 For more, visit www.orrick.com/ai",1,orrick.com/ai,2026-02-21T23:14:57.857634
135,US-NV-AB3265,AB 3265,29,1,,AB 3265,,,,2,(IAPP tracker PDF),2026-02-21T23:16:26.247609
136,US-NV-AB3356,AB 3356,29,1,,AB 3356,,,,2,(IAPP tracker PDF),2026-02-21T23:16:27.503609
137,US-NV-AB3411-SB934,AB 3411/SB 934,29,1,,AB 3411/SB 934,,,,2,(IAPP tracker PDF),2026-02-21T23:16:28.822256
54,US-CO-SB149,SB 149,2,4,,SB 149,,,,2,(IAPP tracker PDF),2026-02-21T23:14:39.802986
55,US-CO-SB205,SB 205,2,4,,SB 205 (Enacted - Automated Decision Systems),,,,2,(IAPP tracker PDF),2026-02-21T23:14:41.056164
56,US-CO-SB318,SB 318,2,1,,SB 318,,,,2,(IAPP tracker PDF),2026-02-21T23:14:42.492229
57,TMP-CT-CONNECTICUTACT,,8,,2023-07-01,"Connecticut Act Concerning AI, Automated Decision-Making and Personal Data Privacy",AI in Government,"Requires the Department of Administrative Services to prepare an inventory of the AI N/A Automated Decision-Making and systems in use by any Connecticut state agency and perform ongoing assessments of Personal Data Privacy such AI systems to ensure they do not result in unlawful discrimination or disparate impact.; Directs Connecticut government agencies to establish policies and procedures concerning the development, procurement and implementation of such systems.",,1,orrick.com/ai,2026-02-21T23:14:43.817598
74,TMP-ID-IDAHOEXPLICITS,,13,,2024-07-01,Idaho Explicit Synthetic Media law,AI Intimate Images,,"Prohibits any person from knowingly disclosing explicit synthetic media that realistically Misdemeanor or felony charges, misrepresents an identifiable individual as engaging in conduct in which that identifiable and up to $25,000 in criminal fines. individual did not engage where such disclosure (or threatened disclosure) could harm the individual (such as cause substantial emotional distress, or be used to threaten or harass the individual).",1,orrick.com/ai,2026-02-21T23:15:04.27982
75,TMP-ID-TOPERSONHOODIC,,13,,2022-07-01,Relating to Personhood,AI Definition Relating,Prohibits the granting of personhood to artificial intelligence in the state of Idaho. N/A,,1,orrick.com/ai,2026-02-21T23:15:05.390187
76,US-ID-HB127,HB 127,13,1,,HB 127,,,,2,(IAPP tracker PDF),2026-02-21T23:15:06.344003
77,US-ID-HB3506,HB 3506,13,1,,HB 3506,,,,2,(IAPP tracker PDF),2026-02-21T23:15:07.652136
78,US-ID-SB1929,SB 1929,13,1,,SB 1929,,,,2,(IAPP tracker PDF),2026-02-21T23:15:08.913137
79,TMP-IL-AITHEWELLNESSA,,14,,2025-08-01,The Wellness and Oversight for Psychological Resources Act,User-Facing,"Prohibits any individual or entity from providing, advertising, or otherwise offering therapy Up to $10,000 per violation. Psychological Resources Act or psychotherapy services, including through the use of Internet-based artificial intelligence, to the public unless the therapy or psychotherapy services are conducted by an individual who is a licensed professional.; Exceptions are provided for religious counseling, peer support, and self-help materials and educational resources that are available to the public and do not purport to offer therapy or psychotherapy services.",,1,orrick.com/ai,2026-02-21T23:15:10.207566
81,TMP-IL-ARTIFICIALINTE,,14,,2020-01-01,Artificial Intelligence Video Interview Act,AI in Employment,"Requires employers who use AI to analyze applicant video interviews to notify each N/A Interview Act applicant of the use of AI, explain how the AI works, and obtain the applicant’s consent prior to using the AI.; Requires employers who rely solely on AI to analyze video interviews to determine whether an applicant will be selected for an in-person interview to collect and report to the Department of Commerce and Economic Opportunity annually on the demographic data of the applicants",,1,orrick.com/ai,2026-02-21T23:15:12.310232
83,TMP-IL-VOICEANDLIKENE,,14,,2024-08-09,Digital Voice and Likeness Protection Act,AI Likeness Digital,,Makes any provision in an agreement for the performance of personal or professional Unenforceability of a violating Protection Act services unenforceable where: contractual provision. - The provision allows for the creation and use of a digital replica of the individual’s voice or likeness in place of work the individual would otherwise have performed in person; - The provision does not include a reasonably specific description of the intended uses of the digital replica; and - The individual was not represented (i) by legal counsel or (ii) by a labor union.,1,orrick.com/ai,2026-02-21T23:15:14.31407
85,US-IL-SB1792,SB 1792,14,1,,SB 1792 (Active Bill - Generative AI/Synthetic Content),,,,2,(IAPP tracker PDF),2026-02-21T23:15:16.403731
86,US-IL-SB2203,SB 2203,14,1,,SB 2203 (Active Bill - Automated Decision Systems),,,,2,(IAPP tracker PDF),2026-02-21T23:15:17.841011
87,TMP-IN-AMENDMENTOFIND,,15,,2024-03-12,Amendment of Indiana Law Governing Distribution of Intimate Images,AI Intimate Images,,"Extends prohibitions on the distribution of intimate images to include computer Existing criminal penalties apply. Governing Distribution of Intimate generated images, including images of an individual created or modified by means of a Images computer software program, artificial intelligence, application, or other design editing tools. Last updated January 13, 2026 Page 14 of 39 For more, visit www.orrick.com/ai",1,orrick.com/ai,2026-02-21T23:15:22.378664
89,TMP-IA-EXPLOITATIONOF,,16,,2024-07-01,Sexual Exploitation of a Minor,AI CSAM Sexual,,"Updates the sexual exploitation laws to define a ""visual depiction of a minor"" to include Existing criminal penalties apply. any visual depiction that has been created, adapted, or modified to give the appearance that an identifiable minor is engaged in a prohibited sexual act or the simulation of a prohibited sexual act.; Updates the sexual exploitation laws to define an ""identifiable minor"" as a person who was a minor at the time the visual depiction was created, adapted, or modified, or whose image as a minor was used in creating, adapting, or modifying the visual depiction and is recognizable as an actual person by the person's face, likeness, or other distinguishing features.",1,orrick.com/ai,2026-02-21T23:15:24.482602
90,TMP-IA-HARASSMENTIOWA,,16,,2024-07-01,Harassment,AI Intimate Images,,"Updates the offense of harassment to provide that the dissemination, publication, Existing criminal penalties apply. distribution, or posting of a visual depiction showing ""another person"" in a state of full or partial nudity or engaged in a sex act includes an individual, recognizable by their face, likeness, or other distinguishing features, whose image is used to create, adapt, or modify a visual depiction to depict that other person in the manner described.",1,orrick.com/ai,2026-02-21T23:15:25.393308
91,US-IA-HB406,HB 406,16,1,,HB 406 (Active Bill - AI Systems (Personal Data)),,,,2,(IAPP tracker PDF),2026-02-21T23:15:26.436513
92,US-IA-HB823,HB 823,16,1,,HB 823,,,,2,(IAPP tracker PDF),2026-02-21T23:15:27.648123
93,TMP-KS-AIPLATFORMSOFC,,17,,2025-04-08,AI Platforms of Concern,AI in Government,Prohibits the use of an AI platform of concern (including DeepSeek) by a state agency. N/A,,1,orrick.com/ai,2026-02-21T23:15:28.753171
138,US-NV-AB768-SB1962,AB 768/SB 1962,29,1,,AB 768/SB 1962,,,,2,(IAPP tracker PDF),2026-02-21T23:16:30.067277
73,US-HI-SB59,SB 59,12,1,,SB 59 (Active Bill - Automated Decision Systems),,,,2,(IAPP tracker PDF),2026-02-21T23:15:01.477963
99,TMP-LA-DEEPFAKELAW14L,,19,,2023-08-01,Louisiana Deepfake Law,AI CSAM Louisiana,,"Makes it unlawful for any person who, with knowledge that the material is a deepfake Imprisonment for 5 – 30 years and 73.13 depicting a minor, knowingly creates or possesses material that depicts a minor engaging a fine of not more than $50,000. in sexual conduct.",1,orrick.com/ai,2026-02-21T23:15:35.180113
100,TMP-LA-LOUISIANAAIINT,,19,,2024-08-01,Louisiana AI Intimate Image Law,AI Intimate Images,,"Makes it unlawful for any person, with the intent to coerce, harass, intimidate, or Up to 6 months imprisonment 73.14 otherwise act maliciously, to disseminate or sell any video or still image created by AI that and/or $750 fine. depicts another person intimately when the person disseminating the video or still image knows or has reason to know that he is not licensed or authorized to do so. Last updated January 13, 2026 Page 16 of 39 For more, visit www.orrick.com/ai",1,orrick.com/ai,2026-02-21T23:15:36.238704
101,TMP-LA-LOUISIANADEEPF,,19,,2023-08-01,Louisiana Deepfake Law,AI Intimate Images,,"Makes it unlawful for any person who, with knowledge that the material is a deepfake that Imprisonment for 5 – 30 years and 73.13 depicts another person, without consent of the person depicted, engaging in sexual a fine of not more than $50,000. conduct, knowingly advertises, distributes, exhibits, exchanges with, promotes, or sells any sexual material.",1,orrick.com/ai,2026-02-21T23:15:37.29959
102,TMP-ME-AICOMMUNICATIO,,20,,2025-09-24,Communications with Consumers via AI,User-Facing,Prohibits any person from using an AI chatbot or any other computer technology to Constitutes a violation of the Maine via AI engage in trade and commerce with a consumer in a manner that may mislead or deceive a Unfair Trade Practices Act. reasonable consumer into believing that the consumer is engaging with a human unless the consumer is notified in a clear and conspicuous manner that the consumer is not engaging with a human being.,,1,orrick.com/ai,2026-02-21T23:15:38.363612
104,TMP-MD-MARYLANDAIGOVE,,21,,2024-07-01,Maryland AI Governance Act of 2024,AI in Government,"Requires each unit of Maryland state government to conduct an inventory of high-risk AI N/A 2024 systems.; Requires each unit of Maryland state government to conduct annual impact assessments of high-risk AI systems.; Requires the Maryland Department of Information Technology to develop policies and procedures for the deployment, use, and assessment of high-risk AI systems.",,1,orrick.com/ai,2026-02-21T23:15:40.453611
105,TMP-MD-TOTHEMARYLANDC,,21,,2023-10-01,Amendment to the Maryland CSAM Statute,AI CSAM Amendment,,"Expands the definition of CSAM to include a computer generated image that is Existing criminal penalties apply. Statute 11-208 indistinguishable from an actual and identifiable child under the age of 16. Last updated January 13, 2026 Page 17 of 39 For more, visit www.orrick.com/ai",1,orrick.com/ai,2026-02-21T23:15:41.544314
107,US-MD-HB1331,HB 1331,21,1,,HB 1331,,,,2,(IAPP tracker PDF),2026-02-21T23:15:43.659583
108,US-MD-SB936,SB 936,21,1,,SB 936,,,,2,(IAPP tracker PDF),2026-02-21T23:15:44.914911
109,TMP-MA-AMENDMENTTOTHE,,22,,2024-06-20,Amendment to the Massachusetts Intimate Images Law,AI Intimate Images,,"Expands the scope of the non-consensual dissemination of intimate images statute to Existing criminal penalties apply. Intimate Images Law include “material produced by digitization” or the “creation or alteration of visual material . . . through the use of computer-generated images, in a manner that would falsely appear to a reasonable person to be an authentic representation of the person depicted.”",1,orrick.com/ai,2026-02-21T23:15:46.096711
110,US-MA-HB97,HB 97,22,1,,HB 97,,,,2,(IAPP tracker PDF),2026-02-21T23:15:47.115669
111,TMP-MI-AIPOLITICALDEE,,23,,2024-07-01,AI Political Deepfake Law,AI in Political,,"Prohibits any person within 90 days of an election from distributing materially deceptive Imprisonment, injunctive relief and Advertising media (including AI-generated content) that the person knows falsely represents a fines up to $1,000. depicted individual and intends the distribution to harm the reputation or electoral prospects of a candidate in an election or to change the voting behavior of electors in an election by causing them to believe the deception is accurate (unless an appropriate disclaimer is provided).",1,orrick.com/ai,2026-02-21T23:15:48.313184
112,TMP-MI-AIPOLITICALDIS,,23,,2024-02-13,AI Political Disclaimer Law,AI in Political,"Requires political advertisements generated in whole or substantially by artificial Not specified. Advertising intelligence (whether communicated by phone, radio or print) to contain appropriate disclaimers.",,1,orrick.com/ai,2026-02-21T23:15:49.411578
132,TMP-NV-AIGENERALAICHA,,29,,2025-07-01,General AI Chatbots and Mental Health Services,User-Facing,"Prohibits an artificial intelligence provider from making any representation or statement or knowingly causing or programming an AI system to make any representation or statement that indicates the AI system is capable of providing professional mental health care, can be used to obtain professional mental or behavioral health care, or is a provider of mental or behavioral health care, a therapist, a clinical therapist, a counselor, a psychiatrist, a doctor or any other term commonly used to refer to a provider of professional mental health or behavioral health care.","Prohibits an artificial intelligence provider from making available in Nevada an AI system Civil penalty of up to $15,000. Health Services Chapter 433 that is specifically programmed to provide a service or experience to a user that would constitute the practice of professional mental or behavioral health care if provided by a natural person.",1,orrick.com/ai,2026-02-21T23:16:11.336009
139,US-NV-SB199,SB199,29,1,,SB199,,,,2,(IAPP tracker PDF),2026-02-21T23:16:31.23758
97,TMP-KY-GOVERNMENTUSEO,,18,,2025-12-01,Government Use of AI Law,AI in Government,"Requires the Commonwealth Office of Technology to create an Artificial Intelligence N/A Governance Committee to govern the use of AI systems by government agencies.; Gives the Commonwealth Office of Technology the powers to establish, publish, maintain, and implement comprehensive policy standards and procedures for the responsible, ethical, and transparent use of generative artificial intelligence systems and high-risk artificial intelligence systems by departments, agencies, and administrative bodies.; Requires government agencies to disclose to the public, through clear and conspicuous disclaimer, when AI systems are used for certain purposes.; Requires government agencies to disclose certain information and make available options for individuals to appeal when an AI system is used to make external decisions about them.",,1,orrick.com/ai,2026-02-21T23:15:32.776636
115,TMP-MN-NONCONSENSUALD,,24,,2023-08-01,Non-Consensual Dissemination of a Deepfake,AI Intimate Images,,"Makes non-consensual dissemination of a deep fake a civil offense when the deepfake Civil penalty of up to $100,000.00, a Deepfake realistically depicts an intimate part of the non-consenting individual or the non-consenting and injunctive relief, including up to individual engaging in a sexual act. The act applies to an individual who can be identified a $1000 daily fine for failure to either by their features or from personal information displayed in connection with the comply. deepfake.",1,orrick.com/ai,2026-02-21T23:15:52.562302
